type,algorithm,condition,N,V_bytes,K,T_ms
[double] 226/336 MultiThreadedQuickSort N=50000 Uniform ...  done
[double] 227/336 MultiThreadedQuickSort N=50000 Normal ...  done
[double] 228/336 MultiThreadedQuickSort N=50000 Best ...  done
[double] 229/336 MultiThreadedQuickSort N=100000 Worst ...  done
[double] 230/336 MultiThreadedQuickSort N=100000 Uniform ...  done
[double] 231/336 MultiThreadedQuickSort N=100000 Normal ...  done
[double] 232/336 MultiThreadedQuickSort N=100000 Best ...  done
[double] 233/336 MultiThreadedQuickSort N=200000 Worst ...  done
[double] 234/336 MultiThreadedQuickSort N=200000 Uniform ...  done
[double] 235/336 MultiThreadedQuickSort N=200000 Normal ...  done
[double] 236/336 MultiThreadedQuickSort N=200000 Best ...  done
[double] 237/336 MultiThreadedQuickSort N=500000 Worst ...  done
[double] 238/336 MultiThreadedQuickSort N=500000 Uniform ...  done
[double] 239/336 MultiThreadedQuickSort N=500000 Normal ...  done
[double] 240/336 MultiThreadedQuickSort N=500000 Best ...  done
[double] 241/336 MultiThreadedQuickSort N=1000000 Worst ...  done
[double] 242/336 MultiThreadedQuickSort N=1000000 Uniform ...  done
[double] 243/336 MultiThreadedQuickSort N=1000000 Normal ...  done
[double] 244/336 MultiThreadedQuickSort N=1000000 Best ...  done
[double] 245/336 MultiThreadedMergeSort N=10000 Worst ...  done
[double] 246/336 MultiThreadedMergeSort N=10000 Uniform ...  done
[double] 247/336 MultiThreadedMergeSort N=10000 Normal ...  done
[double] 248/336 MultiThreadedMergeSort N=10000 Best ...  done
[double] 249/336 MultiThreadedMergeSort N=20000 Worst ...  done
[double] 250/336 MultiThreadedMergeSort N=20000 Uniform ...  done
[double] 251/336 MultiThreadedMergeSort N=20000 Normal ...  done
[double] 252/336 MultiThreadedMergeSort N=20000 Best ...  done
[double] 253/336 MultiThreadedMergeSort N=50000 Worst ...  done
[double] 254/336 MultiThreadedMergeSort N=50000 Uniform ...  done
[double] 255/336 MultiThreadedMergeSort N=50000 Normal ...  done
[double] 256/336 MultiThreadedMergeSort N=50000 Best ...  done
[double] 257/336 MultiThreadedMergeSort N=100000 Worst ...  done
[double] 258/336 MultiThreadedMergeSort N=100000 Uniform ...  done
[double] 259/336 MultiThreadedMergeSort N=100000 Normal ...  done
[double] 260/336 MultiThreadedMergeSort N=100000 Best ...  done
[double] 261/336 MultiThreadedMergeSort N=200000 Worst ...  done
